Load Profile,       Date, 1:00 AM, 2:00 AM, 3:00 AM, 4:00 AM, 5:00 AM, 6:00 AM, 7:00 AM, 8:00 AM, 9:00 AM,10:00 AM,11:00 AM,12:00 PM, 1:00 PM, 2:00 PM, 3:00 PM, 4:00 PM, 5:00 PM, 6:00 PM, 7:00 PM, 8:00 PM, 9:00 PM,10:00 PM,11:00 PM,12:00 AM
TOU-GS      , 03/03/2015,  86.735,  84.707,  84.471,  87.986,  98.516, 117.249, 133.522, 145.653, 152.019, 155.751, 158.089, 159.144, 160.992, 160.411, 155.055, 146.908, 138.620, 131.013, 128.717, 123.309, 116.301, 106.350,  97.658,  91.181
TOU-GS      , 03/04/2015,  87.202,  85.111,  84.812,  88.383,  98.918, 117.459, 133.189, 145.417, 152.488, 157.056, 160.361, 162.133, 164.000, 163.188, 157.809, 149.723, 141.304, 133.383, 130.666, 124.923, 117.521, 107.459,  98.524,  91.965
TOU-GS      , 03/05/2015,  87.995,  85.730,  85.315,  88.550,  98.612, 116.835, 132.825, 145.524, 153.468, 158.589, 162.097, 164.014, 166.034, 165.562, 159.996, 151.494, 142.788, 134.584, 131.341, 125.298, 117.834, 107.681,  98.695,  92.021
TOU-GS      , 03/06/2015,  87.760,  85.395,  84.744,  87.611,  96.566, 113.110, 128.247, 140.108, 147.649, 152.310, 155.348, 156.805, 157.961, 157.246, 152.010, 143.992, 136.146, 128.886, 125.739, 120.263, 113.749, 104.488,  95.201,  88.175
TOU-GS      , 03/07/2015,  83.893,  81.633,  80.666,  81.561,  85.377,  92.556,  95.978,  98.778, 102.474, 105.439, 107.046, 107.265, 106.190, 104.436, 102.936, 101.678, 100.493, 100.598, 102.923, 100.283,  96.340,  90.260,  83.897,  79.323
TOU-GS      , 03/08/2015,  76.676,  75.434,  75.024,  75.825,  78.121,  82.650,  84.243,  85.709,  87.697,  89.920,  92.081,  93.488,  94.112,  94.474,  94.462,  94.357,  94.377,  95.419,  97.710,  94.306,  89.836,  85.383,  81.616,  78.750
TOU-GS      , 03/09/2015,  77.242,  76.938,  78.092,  83.118,  95.146, 114.914, 131.641, 144.117, 150.165, 154.083, 156.250, 157.453, 159.129, 158.431, 153.002, 145.063, 137.114, 129.577, 127.306, 121.970, 115.111, 105.312,  96.755,  90.409
TOU-GS      , 03/10/2015,  86.735,  84.707,  84.471,  87.986,  98.516, 117.249, 133.522, 145.653, 152.019, 155.751, 158.089, 159.144, 160.992, 160.411, 155.055, 146.908, 138.620, 131.013, 128.717, 123.309, 116.301, 106.350,  97.658,  91.181
TOU-GS      , 03/11/2015,  87.202,  85.111,  84.812,  88.383,  98.918, 117.459, 133.189, 145.417, 152.488, 157.056, 160.361, 162.133, 164.000, 163.188, 157.809, 149.723, 141.304, 133.383, 130.666, 124.923, 117.521, 107.459,  98.524,  91.965
TOU-GS      , 03/12/2015,  87.995,  85.730,  85.315,  88.550,  98.612, 116.835, 132.825, 145.524, 153.468, 158.589, 162.097, 164.014, 166.034, 165.562, 159.996, 151.494, 142.788, 134.584, 131.341, 125.298, 117.834, 107.681,  98.695,  92.021
TOU-GS      , 03/13/2015,  87.760,  85.395,  84.744,  87.611,  96.566, 113.110, 128.247, 140.108, 147.649, 152.310, 155.348, 156.805, 157.961, 157.246, 152.010, 143.992, 136.146, 128.886, 125.739, 120.263, 113.749, 104.488,  95.201,  88.175
TOU-GS      , 03/14/2015,  83.893,  81.633,  80.666,  81.561,  85.377,  92.556,  95.978,  98.778, 102.474, 105.439, 107.046, 107.265, 106.190, 104.436, 102.936, 101.678, 100.493, 100.598, 102.923, 100.283,  96.340,  90.260,  83.897,  79.323
TOU-GS      , 03/15/2015,  76.676,  75.434,  75.024,  75.825,  78.121,  82.650,  84.243,  85.709,  87.697,  89.920,  92.081,  93.488,  94.112,  94.474,  94.462,  94.357,  94.377,  95.419,  97.710,  94.306,  89.836,  85.383,  81.616,  78.750
TOU-GS      , 03/16/2015,  77.242,  76.938,  78.092,  83.118,  95.146, 114.914, 131.641, 144.117, 150.165, 154.083, 156.250, 157.453, 159.129, 158.431, 153.002, 145.063, 137.114, 129.577, 127.306, 121.970, 115.111, 105.312,  96.755,  90.409
TOU-GS      , 03/17/2015,  86.735,  84.707,  84.471,  87.986,  98.516, 117.249, 133.522, 145.653, 152.019, 155.751, 158.089, 159.144, 160.992, 160.411, 155.055, 146.908, 138.620, 131.013, 128.717, 123.309, 116.301, 106.350,  97.658,  91.181
TOU-GS      , 03/18/2015,  87.202,  85.111,  84.812,  88.383,  98.918, 117.459, 133.189, 145.417, 152.488, 157.056, 160.361, 162.133, 164.000, 163.188, 157.809, 149.723, 141.304, 133.383, 130.666, 124.923, 117.521, 107.459,  98.524,  91.965
TOU-GS      , 03/19/2015,  87.995,  85.730,  85.315,  88.550,  98.612, 116.835, 132.825, 145.524, 153.468, 158.589, 162.097, 164.014, 166.034, 165.562, 159.996, 151.494, 142.788, 134.584, 131.341, 125.298, 117.834, 107.681,  98.695,  92.021
TOU-GS      , 03/20/2015,  87.760,  85.395,  84.744,  87.611,  96.566, 113.110, 128.247, 140.108, 147.649, 152.310, 155.348, 156.805, 157.961, 157.246, 152.010, 143.992, 136.146, 128.886, 125.739, 120.263, 113.749, 104.488,  95.201,  88.175
TOU-GS      , 03/21/2015,  83.893,  81.633,  80.666,  81.561,  85.377,  92.556,  95.978,  98.778, 102.474, 105.439, 107.046, 107.265, 106.190, 104.436, 102.936, 101.678, 100.493, 100.598, 102.923, 100.283,  96.340,  90.260,  83.897,  79.323
TOU-GS      , 03/22/2015,  76.676,  75.434,  75.024,  75.825,  78.121,  82.650,  84.243,  85.709,  87.697,  89.920,  92.081,  93.488,  94.112,  94.474,  94.462,  94.357,  94.377,  95.419,  97.710,  94.306,  89.836,  85.383,  81.616,  78.750
TOU-GS      , 03/23/2015,  77.242,  76.938,  78.092,  83.118,  95.146, 114.914, 131.641, 144.117, 150.165, 154.083, 156.250, 157.453, 159.129, 158.431, 153.002, 145.063, 137.114, 129.577, 127.306, 121.970, 115.111, 105.312,  96.755,  90.409
TOU-GS      , 03/24/2015,  86.735,  84.707,  84.471,  87.986,  98.516, 117.249, 133.522, 145.653, 152.019, 155.751, 158.089, 159.144, 160.992, 160.411, 155.055, 146.908, 138.620, 131.013, 128.717, 123.309, 116.301, 106.350,  97.658,  91.181
TOU-GS      , 03/25/2015,  87.202,  85.111,  84.812,  88.383,  98.918, 117.459, 133.189, 145.417, 152.488, 157.056, 160.361, 162.133, 164.000, 163.188, 157.809, 149.723, 141.304, 133.383, 130.666, 124.923, 117.521, 107.459,  98.524,  91.965
TOU-GS      , 03/26/2015,  87.995,  85.730,  85.315,  88.550,  98.612, 116.835, 132.825, 145.524, 153.468, 158.589, 162.097, 164.014, 166.034, 165.562, 159.996, 151.494, 142.788, 134.584, 131.341, 125.298, 117.834, 107.681,  98.695,  92.021
TOU-GS      , 03/27/2015,  87.760,  85.395,  84.744,  87.611,  96.566, 113.110, 128.247, 140.108, 147.649, 152.310, 155.348, 156.805, 157.961, 157.246, 152.010, 143.992, 136.146, 128.886, 125.739, 120.263, 113.749, 104.488,  95.201,  88.175
TOU-GS      , 03/28/2015,  83.893,  81.633,  80.666,  81.561,  85.377,  92.556,  95.978,  98.778, 102.474, 105.439, 107.046, 107.265, 106.190, 104.436, 102.936, 101.678, 100.493, 100.598, 102.923, 100.283,  96.340,  90.260,  83.897,  79.323
TOU-GS      , 03/29/2015,  76.676,  75.434,  75.024,  75.825,  78.121,  82.650,  84.243,  85.709,  87.697,  89.920,  92.081,  93.488,  94.112,  94.474,  94.462,  94.357,  94.377,  95.419,  97.710,  94.306,  89.836,  85.383,  81.616,  78.750
TOU-GS      , 03/30/2015,  77.242,  76.938,  78.092,  83.118,  95.146, 114.914, 131.641, 144.117, 150.165, 154.083, 156.250, 157.453, 159.129, 158.431, 153.002, 145.063, 137.114, 129.577, 127.306, 121.970, 115.111, 105.312,  96.755,  90.409
TOU-GS      , 03/31/2015,  86.735,  84.707,  84.471,  87.986,  98.516, 117.249, 133.522, 145.653, 152.019, 155.751, 158.089, 159.144, 160.992, 160.411, 155.055, 146.908, 138.620, 131.013, 128.717, 123.309, 116.301, 106.350,  97.658,  91.181
TOU-GS      , 04/01/2015,  87.158,  85.357,  85.591,  90.670, 103.686, 123.093, 137.500, 149.479, 155.809, 161.121, 164.304, 166.159, 168.405, 166.143, 159.163, 150.453, 141.730, 131.420, 129.321, 125.021, 116.769, 106.044,  97.106,  90.869
TOU-GS      , 04/02/2015,  87.412,  85.514,  85.718,  90.683, 103.533, 122.798, 137.297, 149.276, 155.488, 160.576, 163.398, 164.592, 166.984, 165.081, 158.042, 149.184, 140.649, 130.615, 128.435, 124.275, 116.149, 105.165,  96.436,  90.255
TOU-GS      , 04/03/2015,  87.087,  85.018,  85.089,  89.854, 101.697, 119.369, 132.847, 144.734, 151.657, 157.497, 160.807, 162.211, 164.409, 161.988, 154.246, 145.758, 137.595, 127.350, 124.841, 120.942, 113.169, 102.120,  93.150,  86.835
TOU-GS      , 04/04/2015,  83.505,  81.608,  81.026,  82.734,  87.877,  94.470,  97.038, 102.386, 106.766, 110.274, 111.883, 112.131, 110.782, 109.586, 108.424, 107.101, 105.265, 103.535, 104.630, 102.666,  97.604,  90.039,  83.582,  79.344
TOU-GS      , 04/05/2015,  77.213,  76.114,  75.797,  76.835,  79.391,  82.720,  84.280,  87.574,  90.274,  93.389,  96.096,  97.607,  98.436,  98.873,  98.860,  98.516,  97.712,  96.801,  98.022,  95.390,  90.565,  85.797,  82.015,  79.148
TOU-GS      , 04/06/2015,  77.710,  77.657,  79.187,  85.755, 100.155, 120.257, 135.230, 147.653, 153.868, 159.001, 162.020, 163.771, 166.368, 164.464, 157.090, 148.299, 139.737, 129.567, 127.369, 123.255, 115.469, 104.757,  96.158,  90.072
TOU-GS      , 04/07/2015,  86.559,  84.801,  85.131,  90.131, 103.061, 122.388, 136.858, 148.793, 154.839, 160.043, 163.340, 165.202, 168.126, 166.298, 158.880, 149.891, 141.077, 130.663, 128.596, 124.512, 116.466, 105.479,  96.818,  90.597
TOU-GS      , 04/08/2015,  87.158,  85.357,  85.591,  90.670, 103.686, 123.093, 137.500, 149.479, 155.809, 161.121, 164.304, 166.159, 168.405, 166.143, 159.163, 150.453, 141.730, 131.420, 129.321, 125.021, 116.769, 106.044,  97.106,  90.869
