PROFILE,DATE,12:30am,1:00am,1:30am,2:00am,2:30am,3:00am,3:30am,4:00am,4:30am,5:00am,5:30am,6:00am,6:30am,7:00am,7:30am,8:00am,8:30am,9:00am,9:30am,10:00am,10:30am,11:00am,11:30am,12:00pm,12:30pm,1:00pm,1:30pm,2:00pm,2:30pm,3:00pm,3:30pm,4:00pm,4:30pm,5:00pm,5:30pm,6:00pm,6:30pm,7:00pm,7:30pm,8:00pm,8:30pm,9:00pm,9:30pm,10:00pm,10:30pm,11:00pm,11:30pm,12:00am
A10,1/21/2000,0.383527864,0.371443567,0.363902173,0.358073934,0.3532659,0.352576727,0.35389849,0.358976224,0.363043467,0.374275082,0.399414741,0.429469419,0.484739558,0.546650364,0.616565484,0.669441893,0.724691393,0.76164934,0.778230774,0.790321297,0.79559509,0.802972175,0.802777434,0.795773228,0.77691613,0.781436557,0.788889278,0.778951625,0.776446516,0.76351523,0.744569467,0.725994853,0.699116724,0.664922849,0.629631901,0.617367161,0.593267747,0.575545771,0.559119992,0.542642673,0.53142831,0.522345141,0.500020184,0.470293238,0.439241271,0.425406499,0.406130404,0.391301866
A10,1/22/2000,0.380735716,0.365153445,0.357993153,0.350496452,0.344950091,0.340273887,0.335845483,0.335026677,0.337878283,0.340716197,0.350801397,0.364616424,0.388843569,0.399176158,0.417759845,0.434469722,0.456686067,0.471809655,0.489426593,0.500880778,0.514897724,0.520827801,0.523963483,0.522813717,0.526351794,0.526449222,0.522712369,0.517632625,0.510377296,0.505443059,0.496996112,0.4909663,0.492831153,0.488341049,0.484960933,0.495232608,0.486710946,0.477547875,0.468373619,0.457170439,0.445785664,0.433206041,0.422261939,0.410038707,0.394440431,0.378467432,0.367162739,0.361923492
A10,1/23/2000,0.354965802,0.346710186,0.342260113,0.33681773,0.332350694,0.328936463,0.326414657,0.326917651,0.326047522,0.328698298,0.334355642,0.327648317,0.332180411,0.339934633,0.349554716,0.353282892,0.364086652,0.371919753,0.38591874,0.395320208,0.403740788,0.413464943,0.421962507,0.421989833,0.420917318,0.423917638,0.424091395,0.426472442,0.424077789,0.419146781,0.413216588,0.410982432,0.406830617,0.403941445,0.41198865,0.427898465,0.421876724,0.406132292,0.396241357,0.38945325,0.382903856,0.377212326,0.373014024,0.362243686,0.350894977,0.340925364,0.331027965,0.328382306
A10,1/24/2000,0.323691264,0.317907538,0.314946246,0.312741059,0.308975727,0.307862281,0.310321516,0.313744935,0.32248676,0.343056875,0.373807975,0.404962421,0.464410433,0.521341114,0.582748523,0.634386732,0.693134185,0.725027491,0.747730745,0.762835079,0.775136023,0.78347309,0.785348204,0.788726591,0.770659409,0.779526277,0.782661037,0.779569515,0.775604715,0.762131522,0.748125415,0.722665583,0.698177726,0.66829305,0.636400897,0.627877391,0.599827128,0.585166928,0.564611586,0.54878421,0.531675397,0.517609219,0.487010955,0.457566839,0.429016869,0.414079489,0.396538807,0.386551309
A10,1/25/2000,0.374752774,0.364088209,0.358500794,0.352532567,0.346609962,0.345130383,0.343576825,0.342821578,0.346711109,0.357877889,0.384082965,0.410241381,0.464503364,0.52735559,0.592316988,0.640408703,0.694592261,0.728246534,0.750815811,0.762442254,0.775341141,0.790008374,0.783616177,0.783187955,0.767439559,0.769663799,0.781689409,0.779525009,0.777588902,0.768567072,0.757253666,0.734205898,0.706462216,0.669479596,0.633388239,0.620926683,0.59985872,0.578847715,0.561718033,0.553192912,0.538184047,0.524653434,0.489878566,0.464531382,0.431915495,0.411030397,0.393525415,0.382674886
A10,1/26/2000,0.371183985,0.359994144,0.354060147,0.347829664,0.34499255,0.34349858,0.343613533,0.34589667,0.353588327,0.363498532,0.391106117,0.422464982,0.473879625,0.531242909,0.58818904,0.642283471,0.69918452,0.733198181,0.747629858,0.763235283,0.771948341,0.782679254,0.789615895,0.791039612,0.779120769,0.784656177,0.793100012,0.791049412,0.788748383,0.782393427,0.769292305,0.741293696,0.711313553,0.68525428,0.648626897,0.635536728,0.614243124,0.59156489,0.57382366,0.564325297,0.547380094,0.532541064,0.500060539,0.47067361,0.444386391,0.421015207,0.399537816,0.392672149
A10,1/27/2000,0.391000013,0.381941056,0.36934349,0.360850624,0.35651825,0.352652586,0.355448928,0.35977767,0.367136818,0.3752716,0.398539799,0.427786163,0.484570875,0.536458015,0.599076298,0.650246046,0.707344026,0.744332181,0.764630866,0.779971333,0.785927007,0.792945165,0.79501548,0.795646514,0.785374492,0.785459007,0.794344784,0.7898488,0.791948863,0.782239963,0.772891836,0.745882266,0.719659729,0.686716622,0.651886641,0.644104625,0.623227367,0.605021826,0.584158289,0.569594018,0.55811781,0.542439285,0.514365271,0.481993818,0.457698626,0.437019683,0.415610088,0.405865446
A10,1/28/2000,0.386255213,0.374643586,0.365785466,0.361252587,0.355719031,0.351389078,0.351690896,0.350441015,0.356045335,0.37308685,0.392907871,0.428878279,0.476941284,0.522503101,0.584530821,0.639731204,0.697073042,0.734619707,0.756399067,0.773131197,0.782001986,0.787643815,0.7893695,0.7853429,0.773041725,0.777487323,0.782140921,0.775028103,0.768594052,0.756843316,0.745439862,0.720292492,0.695229175,0.66259899,0.630953347,0.618381103,0.597759349,0.579370943,0.559139247,0.546759783,0.532560435,0.520826533,0.493873459,0.46453634,0.439097724,0.421713345,0.404409099,0.39423785
A10,1/29/2000,0.387637768,0.372322573,0.362982214,0.355563795,0.350573948,0.348219138,0.348494437,0.347157721,0.349411074,0.352040397,0.359245253,0.367175717,0.376587821,0.386101403,0.40279733,0.417476208,0.443366568,0.458524169,0.481825712,0.496142666,0.506887645,0.51161123,0.515134664,0.515319604,0.512889093,0.512443922,0.509095398,0.498774374,0.49189423,0.486283186,0.480602386,0.475661923,0.472387766,0.466288775,0.463943355,0.476237612,0.466689786,0.4567029,0.446787846,0.437160809,0.425063022,0.416488705,0.40609224,0.398124181,0.387720596,0.373852841,0.35976694,0.35511652
A10,1/30/2000,0.348156307,0.340882206,0.334193358,0.326075626,0.323243254,0.317911847,0.314077559,0.313401451,0.316366115,0.330440428,0.345365039,0.352964039,0.368714863,0.377382832,0.383940001,0.388801484,0.400430233,0.40695514,0.417179082,0.429729995,0.444246071,0.456023326,0.46718788,0.468200093,0.468157548,0.47450155,0.478031209,0.478277374,0.475184699,0.468714213,0.466882798,0.46362536,0.460953758,0.461876614,0.468744075,0.484419948,0.478271032,0.459101704,0.44930414,0.444675792,0.441631312,0.431923912,0.422531625,0.411866778,0.396880511,0.385511071,0.373218514,0.368426045
